3,0,0
6,0,0
6,0,0
6,0,0
5,0,0
5,0,0
6,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
7,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
7,0,0
7,0,0
7,0,0
11,0,0
9,0,0
8,0,0
9,0,0
10,0,0
12,0,0
11,0,0
14,0,0
12,0,0
11,0,0
5,0,0
8,0,0
6,0,0
5,0,0
4,0,0
4,0,0
4,0,0
5,0,0
5,0,0
7,0,0
7,0,0
9,0,0
14,0,0
25,6,0
28,7,0
26,4,0
22,5,0
31,14,1
27,7,0
26,6,0
14,0,0
9,0,0
8,0,0
6,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
4,0,0
3,0,0
3,0,0
4,0,0
5,0,0
5,0,0
6,0,0
3,0,0
5,0,0
8,0,0
9,0,0
18,3,0
26,6,0
6,0,0
6,0,0
4,0,0
4,0,0
3,0,0
3,0,0
5,0,0
4,0,0
4,0,0
3,0,0
2,0,0
1,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
5,0,0
6,0,0
8,0,0
15,1,0
7,0,0
14,1,0
8,0,0
25,7,0
40,21,2
41,21,2
5,0,0
4,0,0
9,0,0
10,0,0
11,0,0
13,0,0
12,0,0
11,0,0
11,0,0
9,0,0
6,0,0
7,0,0
7,0,0
11,0,0
12,0,0
12,0,0
21,3,0
40,31,10
31,19,6
41,39,17
32,20,7
17,1,0
16,0,0
15,0,0
15,0,0
13,0,0
11,0,0
10,0,0
12,0,0
12,0,0
13,0,0
13,0,0
14,0,0
15,0,0
16,0,0
16,0,0
16,0,0
16,0,0
15,0,0
13,0,0
12,0,0
14,0,0
15,0,0
15,0,0
16,0,0
16,0,0
17,0,0
17,0,0
16,0,0
17,0,0
19,0,0
20,0,0
23,1,0
33,5,0
21,1,0
39,12,0
42,21,1
28,7,0
23,3,0
13,0,0
17,0,0
13,0,0
15,0,0
18,0,0
16,0,0
12,0,0
11,0,0
13,0,0
19,0,0
18,0,0
18,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
16,0,0
16,0,0
17,0,0
15,0,0
17,0,0
11,0,0
10,0,0
12,0,0
17,0,0
13,0,0
8,0,0
12,0,0
8,0,0
7,0,0
11,0,0
15,0,0
14,0,0
11,0,0
8,0,0
8,0,0
15,0,0
17,0,0
15,0,0
38,9,0
41,16,0
42,27,3
42,31,4
42,37,6
42,37,6
42,30,3
41,24,2
42,29,3
42,30,2
42,28,2
41,18,0
42,27,2
42,28,2
42,29,3
42,33,5
42,35,5
42,36,6
42,35,6
42,28,2
41,18,0
42,25,3
41,31,2
41,25,1
42,26,1
42,24,0
42,33,3
42,31,3
42,35,4
42,32,3
42,35,4
42,26,2
38,11,0
30,4,0
28,3,0
35,7,0
42,27,1
42,27,1
42,18,0
42,29,2
42,22,0
42,25,1
41,15,0
40,16,0
42,20,1
26,3,0
21,1,0
38,9,0
36,8,0
38,9,0
42,19,0
40,8,0
30,2,0
28,2,0
24,2,0
37,8,0
39,10,0
36,8,0
18,1,0
19,1,0
20,0,0
11,0,0
12,0,0
32,9,0
17,2,0
9,0,0
8,0,0
8,0,0
10,0,0
9,0,0
14,0,0
27,4,0
35,11,0
18,1,0
19,1,0
23,2,0
28,6,0
28,5,0
13,0,0
27,4,0
10,0,0
8,0,0
9,0,0
8,0,0
8,0,0
9,0,0
8,0,0
7,0,0
8,0,0
8,0,0
9,0,0
21,3,0
14,0,0
36,10,0
41,11,0
30,4,0
41,14,0
33,9,0
20,1,0
35,26,5
25,6,0
30,8,0
27,3,0
41,17,0
42,23,1
41,28,3
42,38,8
42,36,6
42,28,3
42,25,2
42,28,2
42,29,2
42,25,2
40,12,0
42,23,1
42,29,3
42,38,7
41,34,6
42,30,3
42,22,1
41,24,2
41,35,8
41,31,4
42,33,5
42,36,6
42,29,3
40,14,0
42,29,4
42,33,5
42,35,6
42,39,9
40,40,18
39,41,26
42,38,11
42,37,10
41,39,12
33,18,3
39,27,5
40,36,24
41,40,28
42,38,11
42,35,7
42,32,4
41,19,1
36,7,0
38,7,0
29,3,0
35,5,0
39,7,0
40,11,0
40,18,1
42,37,9
42,35,8
42,31,5
42,34,8
42,40,22
39,40,30
30,7,0
23,1,0
25,2,0
37,19,3
40,39,14
41,41,24
42,40,19
42,40,17
42,39,12
42,34,6
38,17,1
42,19,1
42,30,5
42,35,7
41,37,10
42,35,6
42,32,5
37,21,3
35,8,0
38,10,0
40,7,0
39,9,0
39,12,0
32,6,0
42,16,0
41,9,0
42,15,0
41,17,0
42,20,1
39,10,0
30,4,0
30,5,0
35,17,2
42,30,5
39,22,4
42,34,6
42,35,8
41,32,6
42,34,7
42,26,3
41,16,0
41,21,0
41,21,1
36,9,0
18,1,0
28,4,0
33,8,0
33,6,0
27,2,0
24,2,0
32,5,0
41,20,0
41,27,1
41,19,0
28,2,0
28,2,0
29,3,0
35,6,0
42,20,0
42,17,1
32,5,0
20,1,0
16,0,0
25,2,0
27,3,0
19,1,0
16,0,0
17,1,0
12,0,0
22,3,0
29,5,0
42,19,0
42,14,0
38,9,0
35,5,0
31,3,0
39,7,0
35,5,0
42,12,0
41,12,0
42,16,0
37,9,0
14,0,0
19,1,0
17,0,0
28,3,0
29,3,0
29,3,0
30,3,0
30,3,0
37,5,0
39,6,0
36,5,0
34,4,0
30,3,0
29,3,0
24,1,0
21,1,0
32,7,0
39,9,0
34,7,0
40,9,0
33,4,0
28,3,0
23,1,0
33,9,0
27,7,0
42,34,4
41,30,3
30,7,0
18,0,0
20,1,0
38,25,7
25,6,0
22,1,0
30,12,0
34,15,2
32,8,0
42,28,2
42,28,1
42,29,2
42,23,0
36,9,0
41,12,0
24,2,0
27,3,0
27,2,0
27,2,0
21,1,0
12,0,0
18,1,0
18,1,0
23,1,0
28,2,0
37,5,0
32,3,0
25,2,0
19,1,0
23,1,0
21,1,0
20,1,0
42,30,2
41,19,1
30,5,0
28,3,0
39,10,0
41,26,2
42,36,9
38,11,0
32,5,0
40,20,2
42,27,3
42,30,3
42,32,3
42,28,3
33,9,0
40,12,0
41,15,0
41,18,0
42,16,0
40,10,0
33,5,0
41,13,0
42,28,4
42,40,26
42,36,19
36,20,4
42,29,4
42,34,6
42,33,3
41,14,0
42,34,4
41,30,2
40,14,0
19,1,0
18,1,0
36,8,0
41,23,0
42,32,3
41,23,1
39,13,0
19,1,0
25,2,0
37,14,0
41,20,2
28,4,0
21,2,0
21,2,0
20,1,0
10,0,0
12,0,0
8,0,0
8,0,0
9,0,0
27,3,0
17,1,0
12,0,0
21,1,0
20,1,0
15,0,0
26,3,0
32,6,0
35,7,0
35,6,0
29,4,0
30,7,0
23,2,0
22,2,0
19,1,0
32,11,1
25,2,0
27,4,0
16,1,0
18,1,0
22,2,0
19,1,0
27,3,0
40,16,0
40,21,3
41,37,18
41,37,10
41,36,9
40,29,4
35,10,0
31,5,0
35,10,0
41,23,3
36,11,0
35,10,0
40,12,0
41,10,0
39,9,0
37,6,0
37,8,0
38,19,1
39,19,1
42,30,5
41,21,2
38,11,0
40,13,0
38,10,0
23,2,0
39,7,0
23,3,0
9,0,0
6,0,0
6,0,0
6,0,0
6,0,0
5,0,0
4,0,0
4,0,0
4,0,0
4,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
8,0,0
32,5,0
37,6,0
33,5,0
30,3,0
31,3,0
22,1,0
31,4,0
24,2,0
13,0,0
6,0,0
8,0,0
7,0,0
6,0,0
5,0,0
3,0,0
3,0,0
3,0,0
4,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
5,0,0
4,0,0
3,0,0
3,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
6,0,0
9,0,0
5,0,0
13,0,0
3,0,0
3,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
2,0,0
6,0,0
4,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
4,0,0
9,0,0
22,2,0
29,4,0
16,0,0
33,4,0
40,9,0
37,7,0
34,6,0
27,3,0
9,0,0
17,1,0
28,5,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
6,0,0
5,0,0
5,0,0
8,0,0
20,1,0
22,1,0
30,3,0
14,0,0
10,0,0
11,0,0
7,0,0
6,0,0
9,0,0
11,0,0
11,0,0
14,0,0
26,2,0
14,0,0
11,0,0
12,0,0
12,0,0
13,0,0
12,0,0
10,0,0
10,0,0
11,0,0
10,0,0
9,0,0
8,0,0
7,0,0
8,0,0
9,0,0
9,0,0
11,0,0
9,0,0
11,0,0
19,1,0
10,0,0
24,3,0
19,1,0
17,0,0
10,0,0
8,0,0
7,0,0
8,0,0
9,0,0
11,0,0
11,0,0
13,0,0
14,0,0
14,0,0
12,0,0
12,0,0
12,0,0
16,0,0
25,1,0
20,1,0
11,0,0
15,1,0
15,0,0
37,11,0
19,2,0
9,0,0
12,0,0
10,0,0
9,0,0
12,0,0
11,0,0
12,0,0
10,0,0
10,0,0
11,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
10,0,0
10,0,0
12,0,0
11,0,0
9,0,0
10,0,0
13,0,0
11,0,0
10,0,0
10,0,0
11,0,0
7,0,0
9,0,0
12,0,0
11,0,0
14,0,0
32,2,0
39,4,0
40,6,0
40,30,17
41,33,12
41,37,21
39,7,0
35,3,0
32,3,0
28,2,0
33,11,0
38,21,2
35,13,1
23,1,0
24,1,0
23,1,0
23,1,0
28,2,0
27,3,0
32,2,0
32,2,0
33,2,0
38,5,0
39,4,0
40,20,3
36,20,2
37,5,0
37,6,0
37,3,0
33,2,0
32,2,0
32,2,0
31,5,0
39,28,6
34,8,0
29,2,0
26,1,0
23,1,0
25,1,0
32,9,1
41,39,8
35,14,1
31,2,0
27,4,0
28,2,0
26,1,0
21,1,0
23,1,0
34,11,1
40,38,7
41,38,8
40,22,1
26,1,0
20,0,0
22,1,0
22,1,0
23,1,0
23,1,0
24,1,0
23,1,0
24,1,0
26,2,0
22,1,0
23,1,0
23,1,0
21,0,0
19,0,0
29,1,0
42,30,4
41,31,4
40,37,5
32,11,0
19,1,0
40,22,1
27,3,0
19,0,0
16,0,0
12,0,0
16,0,0
19,0,0
17,0,0
18,0,0
21,0,0
36,9,0
31,2,0
23,1,0
21,0,0
16,0,0
20,0,0
15,0,0
15,0,0
18,0,0
19,0,0
17,0,0
21,1,0
22,1,0
20,0,0
32,6,0
41,18,0
37,3,0
41,7,0
38,16,2
41,41,35
40,30,16
40,19,4
39,5,0
38,5,0
30,2,0
28,5,0
37,19,2
35,7,0
39,25,4
41,34,9
41,39,30
42,40,32
41,41,26
42,40,25
42,36,11
40,29,6
41,38,8
42,28,4
41,24,3
39,12,0
39,11,0
41,24,3
42,34,6
39,25,3
40,13,0
39,20,0
41,37,12
41,41,27
39,27,7
38,19,4
40,5,0
36,31,18
42,41,26
41,32,8
42,40,34
41,36,28
41,40,23
41,33,10
40,23,1
41,35,4
28,9,0
27,6,0
42,35,8
42,34,10
40,25,3
42,37,9
42,40,16
42,38,19
41,34,7
41,33,9
26,5,0
29,6,0
29,6,0
37,12,0
38,25,3
32,8,0
25,4,0
30,5,0
24,3,0
17,1,0
15,1,0
31,16,2
41,35,7
41,31,10
42,37,19
39,25,6
9,2,0
5,0,0
3,1,0
30,24,12
39,24,2
41,31,6
23,8,1
11,0,0
7,0,0
7,0,0
13,1,0
17,2,0
27,10,0
31,12,1
20,4,0
12,1,0
19,7,0
23,16,5
9,3,0
0,0,0
4,0,0
8,0,0
1,0,0
0,0,0
0,0,0
0,0,0
10,1,0
14,3,0
16,4,0
42,31,3
42,33,5
42,32,4
42,28,3
42,24,3
42,22,2
42,28,6
35,11,0
35,11,0
27,10,1
22,4,0
