49.270166,49.887508,49.911456,50.722172,56.293532,64.759286,76.614120,91.369227,92.519561,95.194421,98.944270,99.314375,99.544426,99.719641,114.432927,119.819847,122.501468,124.702428
49.741258,50.058368,50.382278,50.722172,51.669660,65.076635,88.383980,91.836192,92.532408,94.844790,94.998690,99.423399,99.578726,99.957970,102.744134,105.078639,113.215853,117.765709
50.058368,50.143887,50.779847,53.211621,53.835862,55.751963,84.768982,89.863440,92.888702,93.700408,97.398788,99.345153,99.719641,100.973088,101.373991,106.332947,109.738699,119.578339
50.143887,50.755273,50.842328,51.250656,52.553370,58.751371,86.410770,88.850410,90.062508,91.792911,91.836192,92.277162,101.811974,102.497122,103.525528,103.633499,108.449777,120.630282
49.961195,50.445905,51.537450,51.991851,52.553370,55.896426,86.049595,87.534049,89.863440,91.857830,92.611982,93.352489,100.911195,102.412619,104.282344,105.894305,111.266340,124.463846
49.374377,49.961195,50.903969,51.543043,53.141181,76.231828,80.754371,85.103359,87.902861,88.568431,90.062508,99.802072,101.370251,101.491300,103.371163,106.332947,122.668668,122.970661
50.445905,50.565895,50.755273,52.889066,53.141181,53.211621,87.174930,87.980213,92.623297,94.227617,96.251969,100.602631,101.508586,101.647287,101.973160,102.404259,102.744134,131.677876
50.745086,50.959577,51.071741,51.543043,52.889066,78.672156,79.124290,83.890062,87.534049,90.448207,93.700408,101.927042,102.284345,103.633499,103.867410,107.529798,123.769005,124.185499
49.325971,49.948118,50.745086,55.831176,56.980011,68.518312,76.231828,90.428909,91.289278,93.095670,96.916605,97.938286,101.647287,103.841877,107.712145,116.652797,116.806352,121.561795
52.060177,52.906412,53.052771,55.540540,56.980011,57.885050,71.191743,91.414335,95.774539,99.890328,99.981304,100.756100,102.286806,102.718119,107.228541,107.529798,107.739334,121.247530
49.882008,50.490835,50.617528,51.835701,52.060177,77.607364,84.753928,85.398859,89.726771,94.935655,95.552665,99.989074,100.251363,102.324064,103.406268,107.712145,122.221603,126.559543
50.126236,50.152861,50.617528,51.971466,66.503179,68.179136,69.947939,86.099940,91.414335,96.759430,97.169233,97.906363,99.221870,108.577540,108.738589,115.361270,117.747153,119.202408
49.095656,49.815320,49.882008,50.126236,55.540540,73.701801,75.962720,90.428909,95.852236,97.258754,97.780522,97.873142,98.504517,98.729860,107.074322,108.106836,112.999928,124.023410
